,player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
45,user5,-564.2920068084675,-564.292006808468,-564.2920068084672,-564.2920068084682,-563.4370200533237,-625.4250292987842,-683.0750370880753,-680.4492937624118,-609.2709103645552,-614.738794741234,-625.4982925345092,-688.6048973432612,-681.4550347042243,-609.8627182707471,-623.9191697030724
46,user50,-727.4329239521481,-726.793351566402,-723.9725138909082,-726.6797849704469,-727.3994622247706,-722.9514083305462,-722.9002702532566,-724.0222301394786,-722.8765889431234,-725.0660951171637,-726.2656011000782,-727.0953760092987,-723.8567160566097,-725.0764804921092,-726.9746297356105
47,user51,-270.7137978631324,-270.7137978631324,-270.71379786313247,-270.71379786313236,-356.8978568089635,-457.4224324092502,-650.6916539135964,-601.6953723993319,-419.82188480801227,-482.8474867318335,-466.3360592886088,-660.4069154632261,-609.1849593017199,-428.79448324854326,-493.3099020258846
48,user52,-123.14416714741117,-123.14416714741114,-123.14416714741121,-123.14416714741098,-245.76247165124232,-413.6866149973984,-633.100173569171,-601.8298035983128,-351.9250208099362,-464.7063531030523,-416.4812681567192,-640.8640712477034,-605.7370710778549,-355.19785269279356,-469.2433640477781
49,user53,-678.6723554923315,-678.6723554923317,-678.6723554923315,-678.6723554923317,-678.6723554923315,-693.7316125263105,-719.6513249985449,-709.8505814067282,-686.7215134326775,-691.1143187477819,-697.4096981330042,-718.3215691026674,-715.7258239548614,-689.9562160078701,-696.862435845323
50,user54,-451.6189794317312,-452.3543363601575,-452.3543363601575,-452.35433636015745,-481.44114347026056,-548.3008614928867,-657.250712437025,-641.6442944821906,-506.39826984469846,-555.6291876915377,-550.1482042868447,-663.7732409065623,-641.5266785145675,-509.4773969280557,-551.4111958428364
51,user55,-591.8508974784426,-591.8508974784426,-591.8508974784427,-591.8508974784427,-584.5833943126836,-642.106503791342,-696.8297525054193,-694.7266567305699,-632.9803073818447,-631.3697644243965,-645.4795965657655,-700.6882177292575,-692.1339267514654,-633.4569267232841,-634.6542264468078
52,user56,-668.166552020148,-677.3423202730821,-676.8597721782767,-670.4757831895561,-668.5142052990602,-673.321887411751,-699.9115717682125,-700.6408220133394,-674.9968469415385,-672.2822666835525,-673.8376202271184,-702.4740010790313,-699.1180633554825,-675.6022003075541,-673.1178658471922
53,user57,-608.5560516031497,-608.5560516031496,-608.5560516031497,-608.5560516031499,-605.000816593953,-653.0147976227047,-709.2577175301406,-682.7450292404969,-628.0848104473314,-638.1119774070464,-654.5222461128465,-707.7776522620627,-687.0639636623134,-638.4020092300675,-640.605155854143
54,user58,-727.781877020408,-727.448855537875,-727.464337917814,-727.7423438104975,-727.7930026164818,-726.9267971252166,-725.6322816263961,-726.9906334415696,-726.2922045065013,-727.1609910120255,-727.1200128244241,-727.2824249376622,-727.2386412408221,-727.078788711606,-727.0752930050628
