player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_depth.value_EV,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_rank.value_EV,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean,main.filter_value.value_EV
user30,-656.1148685140012,-656.114868514001,-656.114868514001,-656.114868514001,-656.114868514001,-678.9810041028754,-711.5153971771647,-699.360001324028,-667.0878647587006,-678.9810041028754,-681.5450220516766,-714.8728502587135,-704.1620641041186,-670.9816330958381,-681.5450220516764
user31,-659.367680125029,-659.3676801250278,-659.3676801250283,-659.3676801250278,-654.0174767321746,-686.1613330930156,-706.6377716826266,-704.8918883829233,-671.4953479183932,-679.7989243412312,-686.5381122112394,-708.709117482035,-705.6671901263101,-671.4953479183932,-680.9586239697151
user32,-306.6606996257214,-306.66069962572135,-306.6606996257214,-306.6606996257214,-406.8907142486048,-443.9044276482398,-647.0038794946464,-612.5878802080414,-423.4755890745945,-496.02789438330007,-444.5617091608368,-645.9309261626314,-615.7052837039497,-425.5628244222513,-494.3398765748303
user33,-487.9693953613688,-503.08601897440343,-503.08601897440343,-488.54590152384577,-481.937689886947,-540.8911412409393,-661.6759644420865,-641.6489438667951,-522.5826151037993,-537.6040408289198,-539.1638674363112,-665.7764816301608,-648.4598885603009,-523.8460096604938,-537.5854471388661
user34,-713.6555965588245,-715.161913595703,-715.1394983281441,-714.6091681962012,-713.5818739946833,-717.5435394221568,-720.1618506987054,-721.4665681093527,-714.1981627838297,-718.2483039491995,-718.5477182548018,-723.9066865496998,-722.3277442493868,-717.9027316783863,-718.5295547906189
user35,-725.7397414403183,-726.3959632596925,-723.9203494194237,-725.6396215018387,-725.4848206933909,-723.661379665934,-722.2797080940875,-721.2939195181596,-724.2866550561253,-723.799013227987,-724.723793701809,-726.3729905212961,-722.0440162976124,-723.5747445262962,-724.7306699848273
user36,-398.29049533924905,-434.2736218569822,-434.0725004336437,-401.02314042456726,-408.9896392127259,-417.7416316909771,-592.8694670897839,-591.7722646107261,-422.19971869767477,-426.4496978882311,-417.3039329887691,-599.3390743170319,-589.5460334500528,-420.70520850853234,-426.3512774328197
user37,-721.1053070003412,-719.7091128506072,-720.438673345391,-722.5356085753427,-722.5639804993266,-723.060537567216,-720.7876208503494,-722.5535479075262,-722.4125461859271,-725.7181844257789,-719.5178866025315,-722.3067709160885,-719.7001790916165,-719.332709720939,-724.0140298365045
user38,-627.6493457782436,-627.6493457782435,-627.6493457782436,-627.6493457782436,-622.0806052888622,-657.2909099790354,-702.8361832754126,-700.6309445944123,-650.6440313755575,-655.2514900166266,-662.5560698107504,-705.8926708352683,-701.8679341125544,-654.9741899981105,-660.3432013939266
user39,-272.61162637534346,-272.6116263753433,-272.61162637534335,-272.6116263753433,-372.0269381466764,-462.61976920546806,-649.4045588948754,-614.5973141154648,-414.1013234879698,-521.4848647127285,-459.96792843726473,-652.9783897397031,-615.0986962457717,-416.7546187854089,-513.8332077106611
user4,-589.5067990240881,-594.2959006741801,-594.2959006741801,-590.8866895881412,-599.9985237686274,-614.6189778310624,-692.5664412098577,-669.0253336060332,-606.764186455071,-626.1636169872272,-616.636724438467,-694.0829835847018,-671.1007436607506,-607.3807287400358,-626.2655222133963
user40,-416.05358079004384,-498.7398624624653,-468.7040398281649,-448.5406180586289,-425.62004904585973,-414.5908312143813,-617.984908474337,-560.7765854915338,-454.2153234036608,-422.31828732466766,-413.88136494607943,-618.7569746718135,-569.8283842513995,-456.28658597545837,-422.9508781168535
user41,-651.3097438521081,-662.6037493529138,-651.9038533043823,-649.1948937519938,-663.0892107509651,-652.9171815017403,-699.7045908614871,-664.4137699896197,-646.182573949911,-667.7218189574166,-656.1828557092327,-698.2753867169646,-665.7055992832682,-647.31169700631,-669.4546818875347
user42,-377.0257902165581,-399.53505501656065,-399.5350550165607,-394.4213694914032,-381.3120166669258,-437.98662793345346,-642.9592162248425,-637.1172400617822,-452.95757869034003,-439.0766290144291,-443.4150769009436,-647.0037016512492,-636.3824990141452,-454.3739464296167,-445.44003288004325
user43,-368.7487765324397,-425.24896609993067,-425.24896609993056,-404.37309425106383,-386.15939429636336,-382.6069601318725,-601.8244705853576,-582.214092881936,-422.77009065119955,-393.6356017007234,-380.49310125962825,-602.8601198429076,-586.6958208573622,-424.4876880868964,-389.7178552026225
user44,-480.04918120309867,-526.1230298295744,-526.1230298295745,-496.0313967124465,-482.32391089697086,-485.478876086473,-644.2199593163524,-618.5109327104287,-510.02943533407625,-485.39867417848444,-484.92858468773346,-645.61340796577,-615.4660843808612,-509.7863005425586,-484.68901825826794
user45,-697.6369141463753,-704.2669161889353,-698.6052421777981,-697.2054134582886,-712.303334110281,-697.3292997866522,-717.6916074117955,-709.468841652166,-698.4882715936285,-713.373314992506,-698.0304001259972,-716.7818726982166,-709.9141162882962,-698.6924781022367,-713.4946250617083
user46,-256.32387846163306,-256.323878461633,-256.32387846163306,-256.32387846163306,-378.6212080029879,-432.154882506812,-649.4474969225547,-610.5883002203022,-405.97475595959975,-503.87178041385954,-436.59698371596215,-653.6314421840507,-609.2075486627054,-403.1444745423071,-503.16676863935726
user47,-466.7881140849813,-513.3904590181846,-512.8967290059613,-483.71878815475276,-460.0335087549703,-502.07255237775047,-661.348128777294,-610.990965474338,-505.44309860785523,-480.9818790574336,-502.8788651427263,-653.6400742253052,-605.9155080210967,-497.8397672008589,-481.32095159456134
user48,-348.84145134183467,-368.21329636546307,-368.2132963654631,-359.26496868410953,-360.01026339017807,-407.23816970012876,-610.7617828032917,-575.9611516685818,-398.5409485107645,-416.2778517900035,-408.54052741087975,-613.4932687512736,-576.6338267111114,-398.54094851076457,-417.6571867460585
user49,-670.419253151654,-675.0265369515434,-673.9462225395134,-669.1704692105066,-669.7214892589902,-676.5400826328973,-714.8766025587049,-692.4155788935316,-670.8358027160975,-674.9611677519085,-674.4734985336306,-711.0788471713774,-691.2096807028174,-668.2947059364078,-673.2628839933427
