player,main.filter_depth.value_path,main.filter_depth.value_max,main.filter_depth.value_sum,main.filter_depth.value_levelmean,main.filter_rank.value_path,main.filter_rank.value_max,main.filter_rank.value_sum,main.filter_rank.value_levelmean,main.filter_value.value_path,main.filter_value.value_max,main.filter_value.value_sum,main.filter_value.value_levelmean
user33,-552.2647275551572,-552.2647275551574,-552.2647275551572,-552.2647275551572,-612.5868677733804,-684.8447668222002,-673.6506673264155,-593.574067987829,-611.1907791507022,-687.3363383111214,-671.3220583252021,-596.4263509938299
user34,-696.9186911421673,-697.3628960922135,-698.4455671402886,-697.0221715018047,-707.5465378935262,-716.1663977297827,-716.5609824746371,-704.4546989123094,-707.2407392319585,-717.1697445721018,-717.687375158396,-704.7171724779139
user35,-485.27249209233383,-485.27249209233383,-485.27249209233383,-485.27249209233395,-544.2793975388497,-667.0436012742011,-646.6056670535963,-536.5910778032274,-549.6990451493184,-668.9550092593859,-646.3247284072688,-539.1160998239143
user36,-601.0244774855227,-600.7987437396754,-601.0244774855225,-601.0244774855227,-648.3213922621301,-687.359102766314,-676.9172849936907,-627.6378111971906,-645.366572373898,-689.4956575005942,-677.6382130713995,-627.9680396837068
user37,-519.600758082013,-519.600758082013,-519.600758082013,-519.600758082013,-609.2032442497742,-692.0377185212274,-674.9611785486063,-588.3654552661882,-612.512609707499,-696.2260836429355,-674.5327847308741,-589.818295794604
user38,-577.851801016771,-577.8518010167709,-577.8518010167711,-577.8518010167709,-599.4373406072395,-691.5427799607764,-676.1987064983534,-606.5378316895615,-599.0414137165114,-691.6931139723094,-681.0170610220018,-607.9679348318494
user39,-322.72149827500596,-322.721498275006,-322.72149827500607,-322.72149827500607,-422.8098427767005,-631.8769618965841,-593.3240484573687,-429.02901100529624,-426.01913322097397,-634.0378702252599,-602.6854360345685,-430.57525347962013
user4,-523.9064081088691,-523.9064081088691,-523.9064081088692,-523.9064081088691,-599.3269420400982,-672.2551058303584,-667.2431997340234,-571.7100824082355,-602.4171777166778,-675.5811924398072,-667.7276208623537,-572.4238410070762
user40,-587.899580666715,-587.899580666715,-587.899580666715,-587.899580666715,-609.7925370391761,-697.5871318562217,-682.2548869209206,-612.5948674425274,-610.7526417822198,-696.0155331555843,-682.5679795528458,-613.4618780527053
user41,-312.4635623906106,-312.46356239061066,-312.46356239061066,-312.4635623906106,-475.4136239732224,-652.8037378929828,-629.9064260793352,-438.2916924979585,-475.8347455205176,-654.6664110310021,-634.6272874561134,-440.8859587719034
user42,-547.4444091891959,-551.1151610331788,-551.1151610331789,-551.1151610331789,-612.8275915055808,-686.455428696408,-671.1654554952509,-589.0495376815633,-613.8681100964527,-689.0124202675231,-676.5943785360507,-595.8254152374532
user43,-540.0758232985937,-540.0758232985938,-540.0758232985938,-538.8181679234224,-602.5198596092573,-691.5941936464942,-656.5162195730168,-570.6492596918688,-601.1031871671157,-692.5020363091664,-652.1307032935756,-568.2447733836448
user44,-202.2306874756264,-202.23068747562635,-202.23068747562638,-202.23068747562633,-419.16745917853973,-634.9965219238203,-597.6583522650428,-372.54687619374647,-425.0205133097354,-639.4111918899644,-601.0329124116953,-377.9095100102802
user45,-378.46120237723716,-378.4612023772371,-378.46120237723716,-378.4612023772371,-476.415408885797,-660.1997577327047,-628.8316170623136,-472.58101369652877,-479.61879723265645,-664.4808831909381,-637.4798021574193,-477.65473902398804
user46,-652.5633019507206,-652.5633019507205,-652.5633019507206,-652.1301099427874,-676.0093039508142,-716.6797646314587,-706.8497549849644,-670.3568063729579,-673.3912172207936,-721.0069277078899,-708.2131606606113,-670.7640058708898
user47,-572.0221760102421,-583.5599408497218,-583.5599408497218,-582.5902607935432,-595.0097320772613,-666.2483862513272,-658.4558094825886,-601.5366955835325,-583.6495537366178,-664.3738474167153,-653.7924067347458,-594.256113563401
user48,-414.4267933540389,-414.42679335403886,-414.4267933540388,-414.42679335403886,-542.3856564800813,-658.8541998551307,-651.6892305365218,-523.4198812810303,-534.1053011142048,-662.1632138835134,-652.1818286687753,-522.3506137538018
user49,-712.2254503588454,-712.2254503588454,-712.2254503588454,-712.2254503588454,-712.8830757845924,-724.3043698716284,-720.2310761132953,-712.4647866770381,-713.2668636327064,-725.3310000302879,-720.2166237662427,-714.8686403084444
user5,-234.02801656631385,-234.02801656631385,-234.02801656631385,-234.02801656631385,-441.36975488242695,-636.0977483732304,-626.8327593960563,-416.6954736078853,-450.807599741398,-639.9805972842717,-629.8450749445777,-419.2692576487925
user50,-726.9321540209094,-726.6173915906534,-725.8490436911468,-727.1588497155661,-725.2606718024281,-722.4724646850862,-722.2079070533165,-724.7196983483981,-725.8604049969676,-726.3111851568954,-724.2681632626814,-726.2257693066285
user51,-721.0007356755245,-721.0007356755245,-720.3481768654574,-719.6318216965444,-720.1646558599288,-719.3466048643083,-720.7527308225377,-717.0271844602659,-721.9410947521283,-726.4738250922819,-720.9999770921111,-719.3239762290291
user52,-561.9786682733147,-561.9786682733147,-561.9786682733147,-561.9786682733147,-609.7360721708224,-675.6820877757264,-675.8997577765814,-599.9598559639779,-609.3244155804202,-678.3117515043981,-675.6712476966551,-602.8621657873409
user53,-725.0427035771643,-724.2959364456171,-724.249061970678,-725.5918365426865,-724.6108834886186,-717.8342888534602,-723.801046073786,-725.0189265610345,-723.7203177822308,-721.9088385368544,-723.1016374826165,-724.7042631316825
user54,-529.0546292266408,-542.0475671486555,-537.6203684678701,-531.4377369563423,-571.5233296047171,-673.2686255842857,-630.6010471114807,-558.1722949823162,-573.7904454586944,-672.0912402211281,-631.5931827628959,-558.6600171636416
user55,-511.4467777434521,-511.4467777434522,-511.4467777434522,-511.44677774345206,-583.2861879062962,-676.3506470568409,-681.7238488294645,-570.2476997627305,-584.662200626516,-679.9082173714476,-678.7350770858889,-571.3032464855094
